tranche_id	generation	heavy_atom_bin	logp_bin	url	expected_bytes
zinc-22f-H14P200	f	14	200	https://files.docking.org/zinc22/zinc-22f/H14/H14P200/H14P200-M.f.smi.gz	22135
zinc-22f-H14P210	f	14	210	https://files.docking.org/zinc22/zinc-22f/H14/H14P210/H14P210-M.f.smi.gz	27524
zinc-22f-H14P220	f	14	220	https://files.docking.org/zinc22/zinc-22f/H14/H14P220/H14P220-M.f.smi.gz	20831
zinc-22f-H14P230	f	14	230	https://files.docking.org/zinc22/zinc-22f/H14/H14P230/H14P230-M.f.smi.gz	15921
zinc-22f-H14P240	f	14	240	https://files.docking.org/zinc22/zinc-22f/H14/H14P240/H14P240-M.f.smi.gz	17986
zinc-22f-H14P250	f	14	250	https://files.docking.org/zinc22/zinc-22f/H14/H14P250/H14P250-M.f.smi.gz	14854
zinc-22f-H14P260	f	14	260	https://files.docking.org/zinc22/zinc-22f/H14/H14P260/H14P260-M.f.smi.gz	11483
zinc-22f-H14P270	f	14	270	https://files.docking.org/zinc22/zinc-22f/H14/H14P270/H14P270-M.f.smi.gz	11697
zinc-22f-H14P280	f	14	280	https://files.docking.org/zinc22/zinc-22f/H14/H14P280/H14P280-M.f.smi.gz	12420
zinc-22f-H14P290	f	14	290	https://files.docking.org/zinc22/zinc-22f/H14/H14P290/H14P290-M.f.smi.gz	8545
zinc-22f-H14P300	f	14	300	https://files.docking.org/zinc22/zinc-22f/H14/H14P300/H14P300-M.f.smi.gz	8535
zinc-22f-H14P310	f	14	310	https://files.docking.org/zinc22/zinc-22f/H14/H14P310/H14P310-M.f.smi.gz	6691
zinc-22f-H14P320	f	14	320	https://files.docking.org/zinc22/zinc-22f/H14/H14P320/H14P320-M.f.smi.gz	5420
zinc-22f-H14P330	f	14	330	https://files.docking.org/zinc22/zinc-22f/H14/H14P330/H14P330-M.f.smi.gz	3772
zinc-22f-H14P340	f	14	340	https://files.docking.org/zinc22/zinc-22f/H14/H14P340/H14P340-M.f.smi.gz	3727
zinc-22f-H14P350	f	14	350	https://files.docking.org/zinc22/zinc-22f/H14/H14P350/H14P350-M.f.smi.gz	2738
zinc-22f-H14P360	f	14	360	https://files.docking.org/zinc22/zinc-22f/H14/H14P360/H14P360-M.f.smi.gz	1991
zinc-22f-H14P370	f	14	370	https://files.docking.org/zinc22/zinc-22f/H14/H14P370/H14P370-M.f.smi.gz	1214
zinc-22f-H14P380	f	14	380	https://files.docking.org/zinc22/zinc-22f/H14/H14P380/H14P380-M.f.smi.gz	1159
zinc-22f-H14P390	f	14	390	https://files.docking.org/zinc22/zinc-22f/H14/H14P390/H14P390-M.f.smi.gz	1274
zinc-22f-H14P400	f	14	400	https://files.docking.org/zinc22/zinc-22f/H14/H14P400/H14P400-M.f.smi.gz	713
zinc-22f-H14P410	f	14	410	https://files.docking.org/zinc22/zinc-22f/H14/H14P410/H14P410-M.f.smi.gz	570
zinc-22f-H14P420	f	14	420	https://files.docking.org/zinc22/zinc-22f/H14/H14P420/H14P420-M.f.smi.gz	389
zinc-22f-H14P430	f	14	430	https://files.docking.org/zinc22/zinc-22f/H14/H14P430/H14P430-M.f.smi.gz	209
zinc-22f-H14P440	f	14	440	https://files.docking.org/zinc22/zinc-22f/H14/H14P440/H14P440-M.f.smi.gz	227
zinc-22f-H14P450	f	14	450	https://files.docking.org/zinc22/zinc-22f/H14/H14P450/H14P450-M.f.smi.gz	342
zinc-22f-H14P470	f	14	470	https://files.docking.org/zinc22/zinc-22f/H14/H14P470/H14P470-M.f.smi.gz	53
zinc-22f-H14P500	f	14	500	https://files.docking.org/zinc22/zinc-22f/H14/H14P500/H14P500-M.f.smi.gz	141
zinc-22f-H15P000	f	15	0	https://files.docking.org/zinc22/zinc-22f/H15/H15P000/H15P000-M.f.smi.gz	30064
zinc-22f-H15P010	f	15	10	https://files.docking.org/zinc22/zinc-22f/H15/H15P010/H15P010-M.f.smi.gz	28412
zinc-22f-H15P020	f	15	20	https://files.docking.org/zinc22/zinc-22f/H15/H15P020/H15P020-M.f.smi.gz	32141
zinc-22f-H15P030	f	15	30	https://files.docking.org/zinc22/zinc-22f/H15/H15P030/H15P030-M.f.smi.gz	34164
zinc-22f-H15P040	f	15	40	https://files.docking.org/zinc22/zinc-22f/H15/H15P040/H15P040-M.f.smi.gz	30860
zinc-22f-H15P050	f	15	50	https://files.docking.org/zinc22/zinc-22f/H15/H15P050/H15P050-M.f.smi.gz	37160
zinc-22f-H15P060	f	15	60	https://files.docking.org/zinc22/zinc-22f/H15/H15P060/H15P060-M.f.smi.gz	34474
zinc-22f-H15P070	f	15	70	https://files.docking.org/zinc22/zinc-22f/H15/H15P070/H15P070-M.f.smi.gz	36815
zinc-22f-H15P080	f	15	80	https://files.docking.org/zinc22/zinc-22f/H15/H15P080/H15P080-M.f.smi.gz	38640
zinc-22f-H15P090	f	15	90	https://files.docking.org/zinc22/zinc-22f/H15/H15P090/H15P090-M.f.smi.gz	39756
zinc-22f-H15P100	f	15	100	https://files.docking.org/zinc22/zinc-22f/H15/H15P100/H15P100-M.f.smi.gz	36083
zinc-22f-H15P110	f	15	110	https://files.docking.org/zinc22/zinc-22f/H15/H15P110/H15P110-M.f.smi.gz	40610
zinc-22f-H15P120	f	15	120	https://files.docking.org/zinc22/zinc-22f/H15/H15P120/H15P120-M.f.smi.gz	38481
zinc-22f-H15P130	f	15	130	https://files.docking.org/zinc22/zinc-22f/H15/H15P130/H15P130-M.f.smi.gz	41789
zinc-22f-H15P140	f	15	140	https://files.docking.org/zinc22/zinc-22f/H15/H15P140/H15P140-M.f.smi.gz	39080
zinc-22f-H15P150	f	15	150	https://files.docking.org/zinc22/zinc-22f/H15/H15P150/H15P150-M.f.smi.gz	36285
zinc-22f-H15P160	f	15	160	https://files.docking.org/zinc22/zinc-22f/H15/H15P160/H15P160-M.f.smi.gz	39593
zinc-22f-H15P170	f	15	170	https://files.docking.org/zinc22/zinc-22f/H15/H15P170/H15P170-M.f.smi.gz	33918
zinc-22f-H15P180	f	15	180	https://files.docking.org/zinc22/zinc-22f/H15/H15P180/H15P180-M.f.smi.gz	34452
zinc-22f-H15P190	f	15	190	https://files.docking.org/zinc22/zinc-22f/H15/H15P190/H15P190-M.f.smi.gz	36710
zinc-22f-H15P200	f	15	200	https://files.docking.org/zinc22/zinc-22f/H15/H15P200/H15P200-M.f.smi.gz	24484
zinc-22f-H15P210	f	15	210	https://files.docking.org/zinc22/zinc-22f/H15/H15P210/H15P210-M.f.smi.gz	24594
zinc-22f-H15P220	f	15	220	https://files.docking.org/zinc22/zinc-22f/H15/H15P220/H15P220-M.f.smi.gz	17806
zinc-22f-H15P230	f	15	230	https://files.docking.org/zinc22/zinc-22f/H15/H15P230/H15P230-M.f.smi.gz	23645
